header1,header2,data length,command,control,normal r,normal l,sut,suu,sdt,sdu,Area,Special flag,max speed,min speed,Target X,Target Y,Target YW,Current X,Current Y,Current YW,P ,I ,D ,Gain,dcct,dav,dacv,condition,End command,Target end command,traffic,remote cf,reveres,delay,P ,I ,D ,Gain
AA,55,57,1,2,800,800,1,20,1,20,2,1,40,40,80000,210400,-89000,,,,12,0,6,3,10,20,0,1,1,82200,0,0,0,0,1,0,0,0
AA,55,57,8,0,120,120,1,20,1,20,4,1,3,3,53350,0,-91000,,,,12,0,6,3,0,20,0,1,3,73000,0,0,0,0,0,0,0,0
AA,55,57,1,1,1600,1600,1,20,1,20,2,0,40,40,80000,0,-89000,,,,12,0,6,3,10,20,0,1,2,225500,0,0,0,0,1,0,0,0
AA,55,57,1,1,800,800,1,20,1,20,2,0,40,40,80000,0,-89000,,,,12,0,6,3,10,20,0,1,2,226700,0,0,0,0,1,0,0,0
AA,55,57,1,1,600,600,1,20,1,20,3,0,40,40,80000,0,92000,,,,12,0,6,3,10,20,0,1,2,227010,0,0,0,0,0,0,0,0
AA,55,57,1,1,400,400,1,20,1,20,3,0,40,40,80000,0,92000,,,,12,0,6,3,10,20,0,1,2,227750,0,0,0,0,0,0,0,0
AA,55,57,1,1,200,200,1,20,1,20,3,0,40,40,80000,0,92000,,,,12,0,6,3,10,20,0,1,2,228300,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,3,0,40,40,55900,0,92000,,,,12,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,7,0,120,120,1,20,1,20,4,1,3,3,53350,0,-91000,,,,12,0,6,3,0,20,0,2,3,18000,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,3,0,40,40,55900,0,92000,,,,12,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,2,3,200,200,1,20,1,20,7,0,10,10,54800,225750,0,,,,12,0,6,3,0,20,0,2,1,79900,0,0,0,0,0,0,0,0
AA,55,57,2,3,150,150,1,20,1,20,7,0,10,10,54800,225750,0,,,,12,0,6,3,0,20,0,2,1,79610,0,0,0,0,0,0,0,0
AA,55,57,2,2,0,0,1,20,1,20,7,2,10,10,54800,225750,0,,,,12,0,6,3,0,20,0,2,1,79610,0,0,0,3,0,0,0,0
AA,55,57,2,2,0,0,1,20,1,20,7,6,10,10,54800,225750,180000,,,,12,0,6,3,0,20,0,2,1,79610,0,0,11,0,0,0,0,0
AA,55,57,1,2,600,600,1,20,1,20,7,1,40,40,0,225750,180000,,,,12,0,6,3,10,20,0,1,1,81200,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,3,0,40,40,55900,0,92000,,,,12,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,8,0,120,120,1,20,1,20,4,1,3,3,53350,0,-91000,,,,12,0,6,3,0,20,0,1,3,77000,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,3,0,40,40,55900,0,92000,,,,12,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,1,1,400,400,1,20,1,20,3,0,40,40,79000,0,92000,,,,12,0,6,3,10,20,0,1,2,228850,0,0,0,0,0,0,0,0
AA,55,57,1,1,250,250,1,20,1,20,3,0,40,40,79000,0,92000,,,,12,0,6,3,10,20,0,1,2,229390,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,3,0,40,40,55900,0,92000,,,,12,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,7,0,120,120,1,20,1,20,4,1,3,3,53350,0,-91000,,,,12,0,6,3,0,20,0,2,3,18000,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,3,0,40,40,55900,0,92000,,,,12,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,2,3,200,200,1,20,1,20,7,0,10,10,54800,226560,0,,,,12,0,6,3,0,20,0,2,1,81500,0,0,0,0,0,0,0,0
AA,55,57,2,3,150,150,1,20,1,20,7,0,10,10,54800,226560,0,,,,12,0,6,3,0,20,0,2,1,80800,0,0,1,0,0,0,0,0
AA,55,57,1,2,600,600,1,20,1,20,7,3,40,40,0,226560,180000,,,,12,0,6,3,10,20,0,1,1,81000,0,0,0,0,0,0,0,0
AA,55,57,3,0,600,800,1,20,1,20,3,3,40,40,8470,0,-89000,,,,15,0,9,3,10,20,0,2,3,-80000,0,0,0,0,1,0,0,0
AA,55,57,1,1,700,700,2,20,2,20,2,3,40,40,80600,0,-89000,,,,12,0,6,3,10,20,0,2,2,222000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1600,1600,2,20,2,20,2,3,40,40,80600,0,-89000,,,,12,0,6,3,10,20,0,2,2,220000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1600,1600,2,20,2,20,2,3,40,40,80600,0,-89000,,,,12,0,6,3,10,20,0,2,2,209000,0,0,0,0,1,0,0,0
AA,55,57,1,1,600,600,1,20,1,20,2,3,40,40,80600,0,-89000,,,,12,0,6,3,10,20,0,2,2,207800,0,0,0,0,1,0,0,0
AA,55,57,3,0,600,800,1,40,1,20,3,3,40,40,0,0,-89000,,,,12,0,6,3,0,20,0,2,3,-155000,0,0,0,0,1,0,0,0
AA,55,57,1,2,700,700,1,20,1,20,2,2,40,40,80000,207800,-89000,,,,12,0,6,3,10,20,0,2,1,75000,0,0,0,0,1,0,0,0
AA,55,57,1,2,1600,1600,2,20,2,20,2,2,40,40,80000,208250,-89000,,,,12,0,6,3,10,20,0,2,1,57000,0,0,0,0,1,0,0,0
AA,55,57,1,2,800,800,1,20,1,20,2,2,40,40,80000,208600,-89000,,,,12,0,6,3,10,20,0,2,1,56000,0,0,0,0,1,0,0,0
AA,55,57,1,2,600,600,1,20,1,20,2,2,40,40,80000,208600,-89000,,,,12,0,6,3,10,20,0,2,1,55800,0,0,0,0,1,0,0,0
AA,55,57,4,0,800,600,1,30,1,30,3,3,40,40,0,0,-89000,,,,12,0,6,3,0,20,0,2,2,207800,0,0,0,0,1,0,0,0
AA,55,57,4,0,800,600,1,30,1,30,3,3,40,40,0,0,-89000,,,,12,0,6,3,0,20,0,1,3,-100000,0,0,0,0,1,0,0,0
AA,55,57,1,1,700,700,1,20,1,20,2,3,40,40,55900,0,-89000,,,,12,0,6,3,10,20,0,2,2,202500,0,0,0,0,1,0,0,0
AA,55,57,1,1,2000,2000,2,20,2,20,2,3,40,40,56000,0,-89000,,,,12,0,6,3,10,20,0,2,2,201000,0,0,0,0,1,0,0,0
AA,55,57,1,1,2000,2000,2,20,2,20,2,3,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,2,2,176000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1000,1000,2,20,2,20,2,3,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,2,2,173000,0,0,0,0,1,0,0,0
AA,55,57,1,1,600,600,1,20,1,20,2,3,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,2,2,172000,0,1,0,0,1,0,0,0
AA,55,57,1,1,1200,1200,1,20,1,20,3,3,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,2,2,169000,0,0,0,0,1,0,0,0
AA,55,57,1,1,800,800,1,20,1,20,3,3,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,2,2,168000,0,0,0,0,1,0,0,0
AA,55,57,1,1,600,600,1,20,1,20,3,3,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,2,2,167100,0,0,0,0,1,0,0,0
AA,55,57,3,0,600,800,1,20,1,20,4,3,40,40,8470,0,-89000,,,,12,0,6,3,10,20,0,2,3,-110000,0,0,0,0,1,0,0,0
AA,55,57,1,3,700,700,1,20,1,20,4,3,40,40,80000,0,-131000,,,,12,0,6,3,10,20,0,2,1,54800,0,0,0,0,1,0,0,0
AA,55,57,1,3,1000,1000,1,20,1,20,4,3,40,40,80000,0,-131000,,,,12,0,6,3,10,20,0,2,1,52500,0,0,0,0,1,0,0,0
AA,55,57,1,3,600,600,1,20,1,20,4,3,40,40,80000,0,-131000,,,,12,0,6,3,10,20,0,2,1,51500,0,0,0,0,1,0,0,0
AA,55,57,4,0,800,600,1,20,1,20,4,3,250,150,0,0,-89000,,,,12,0,6,3,10,20,0,1,3,-115000,0,0,0,0,1,0,0,0
AA,55,57,4,0,800,600,1,20,1,20,4,3,250,150,0,0,-89000,,,,12,0,6,3,10,20,0,1,3,-115000,0,0,0,0,1,0,0,0
AA,55,57,1,1,700,700,1,20,1,20,4,3,40,40,52600,0,-89000,,,,12,0,6,3,10,20,0,2,2,158500,0,0,0,0,1,0,0,0
AA,55,57,1,1,1000,1000,1,20,1,20,4,3,40,40,52600,0,-89000,,,,12,0,6,3,10,20,0,2,2,157500,0,0,0,0,1,0,0,0
AA,55,57,1,1,600,600,1,20,1,20,4,3,40,40,52600,0,-89000,,,,12,0,6,3,10,20,0,2,2,155300,0,0,0,0,1,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,4,1,40,40,52600,0,-89000,,,,12,0,6,3,10,20,0,2,2,157500,0,0,0,2,1,0,0,0
AA,55,57,1,1,500,500,1,20,1,20,4,1,40,40,52600,0,-89000,,,,12,0,6,3,10,20,0,2,2,153800,0,0,0,0,1,0,0,0
AA,55,57,1,1,500,500,1,20,1,20,4,1,40,40,52600,0,-89000,,,,12,0,6,3,10,20,0,2,2,153800,0,0,3,0,1,0,0,0
AA,55,57,8,0,120,120,1,30,1,30,4,1,40,40,0,0,-89000,,,,12,0,6,3,10,20,0,1,3,-45000,0,0,0,0,1,0,0,0
AA,55,57,1,3,700,700,1,20,1,20,4,1,40,40,80000,0,-30000,,,,12,0,6,3,10,20,0,1,1,56800,0,0,0,0,1,0,0,0
AA,55,57,1,3,600,600,1,20,1,20,4,1,40,40,80000,0,-30000,,,,12,0,6,3,10,20,0,1,1,57200,0,0,0,0,1,0,0,0
AA,55,57,3,0,600,800,1,20,1,20,4,1,200,50,8470,0,-89000,,,,12,0,6,3,10,20,0,2,3,-65000,0,0,0,0,1,0,0,0
AA,55,57,1,1,700,700,1,20,1,20,3,1,40,40,56300,0,-89000,,,,12,0,6,3,10,20,0,2,2,150000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1000,1000,1,20,1,20,2,1,40,40,56300,0,-89000,,,,12,0,6,3,10,20,0,2,2,154000,0,0,0,0,1,0,0,0
AA,55,57,1,1,2400,2400,1,20,1,20,1,1,40,40,56400,0,-89000,,,,12,0,6,3,10,20,0,2,2,105500,0,0,0,0,1,0,0,0
AA,55,57,1,1,600,600,1,60,1,60,1,1,40,40,56400,0,-89000,,,,12,0,6,3,10,20,0,2,2,103500,0,0,24,0,1,0,0,0
AA,55,57,3,0,500,800,1,25,1,25,5,0,40,40,0,0,92000,,,,12,0,6,3,0,20,0,2,3,-150000,0,0,0,0,1,0,0,0
AA,55,57,3,0,500,800,1,25,1,25,5,0,40,40,0,0,92000,,,,12,0,6,3,0,20,0,1,3,130000,0,0,0,0,1,0,0,0
AA,55,57,3,0,500,800,1,20,1,20,5,0,40,40,0,0,92000,,,,12,0,6,3,0,20,0,2,3,115000,0,0,0,0,1,0,0,0
AA,55,57,1,1,650,650,1,20,1,20,2,0,40,40,53600,244690,-89000,,,,12,0,6,3,10,20,0,1,2,110500,0,0,0,0,1,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,3,0,40,40,55900,0,92000,,,,12,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,7,0,120,120,1,20,1,20,4,1,3,3,53350,0,-91000,,,,12,0,6,3,0,20,0,2,3,60000,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,3,0,40,40,55900,0,92000,,,,12,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,2,3,300,300,2,20,2,20,3,0,40,40,0,0,50000,,,,4,0,3,5,10,20,0,2,1,54750,0,0,0,0,1,0,0,0
AA,55,57,8,0,120,120,1,20,1,20,4,1,3,3,53350,0,-91000,,,,12,0,6,3,0,20,0,1,3,65000,0,0,0,0,0,0,0,0
AA,55,57,2,3,250,250,1,20,1,20,5,0,5,5,52900,244690,85000,,,,12,0,6,3,0,20,0,2,2,109100,0,0,0,0,1,0,0,0
AA,55,57,2,3,150,150,1,20,1,20,5,0,5,5,52900,244690,85000,,,,12,0,6,3,0,20,0,2,2,112800,0,2,0,0,1,0,0,0
AA,55,57,2,3,150,150,1,20,1,20,5,0,5,5,52900,244690,85000,,,,12,0,6,3,0,20,0,2,2,108600,0,0,2,0,1,0,0,0
AA,55,57,1,1,600,600,2,20,2,20,3,2,40,40,53200,244690,-89000,,,,12,0,6,3,0,20,0,1,2,109000,0,0,0,0,1,0,0,0
AA,55,57,3,0,600,800,1,20,1,20,5,2,40,40,0,0,92000,,,,12,0,6,3,0,20,0,2,3,60000,0,0,0,0,1,0,0,0
AA,55,57,1,3,600,600,2,20,2,20,3,3,40,40,0,0,45000,,,,4,0,3,5,5,20,0,1,1,57250,0,0,0,0,1,0,0,0
AA,55,57,4,0,800,600,2,20,2,20,4,2,40,40,0,0,92000,,,,12,0,6,3,10,20,0,1,3,55000,0,0,0,0,1,0,0,0
AA,55,57,4,0,800,600,2,20,2,20,4,2,40,40,0,0,92000,,,,12,0,6,3,10,20,0,1,3,85000,0,0,0,0,1,0,0,0
AA,55,57,1,1,700,700,2,20,2,20,2,2,40,40,56100,0,92000,,,,12,0,6,3,10,20,0,1,2,115500,0,0,0,0,1,0,0,0
AA,55,57,1,1,2400,2400,2,20,2,20,1,2,40,40,56100,0,92000,,,,12,0,6,3,10,20,0,1,2,147000,0,0,0,0,1,0,0,0
AA,55,57,1,1,2400,2400,2,20,2,20,1,2,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,1,2,149700,0,0,0,0,1,0,0,0
AA,55,57,1,1,2400,2400,2,20,2,20,1,2,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,1,2,152000,0,0,0,0,1,0,0,0
AA,55,57,1,1,2400,2400,2,20,2,20,1,2,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,1,2,154000,0,0,0,0,1,0,0,0
AA,55,57,1,1,2400,2400,2,20,2,20,1,2,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,1,2,155000,0,0,0,0,1,0,0,0
AA,55,57,1,1,2400,2400,2,20,2,20,1,2,40,40,56000,0,-89000,,,,12,0,6,3,10,20,0,1,2,156000,0,0,0,0,1,0,0,0
AA,55,57,1,1,2000,2000,2,20,2,20,1,2,40,40,55950,0,-89000,,,,12,0,6,3,10,20,0,1,2,156500,0,0,25,0,1,0,0,0
AA,55,57,1,1,2000,2000,2,20,2,20,1,2,40,40,55950,0,-89000,,,,12,0,6,3,10,20,0,1,2,165500,0,0,0,0,1,0,0,0
AA,55,57,1,1,2000,2000,2,20,2,20,1,2,40,40,55950,0,-89000,,,,12,0,6,3,10,20,0,1,2,165500,0,0,23,0,1,0,0,0
AA,55,57,1,1,2400,2400,1,20,1,20,1,2,40,40,55900,0,-89000,,,,12,0,6,3,10,20,0,1,2,168000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1600,1600,1,20,1,20,1,2,40,40,55900,0,-89000,,,,12,0,6,3,10,20,0,1,2,206400,0,0,0,0,1,0,0,0
AA,55,57,1,1,600,600,1,20,1,20,1,2,40,40,55850,0,-89000,,,,12,0,6,3,10,20,0,1,2,208900,0,0,0,0,1,0,0,0
AA,55,57,3,0,600,800,1,40,1,40,3,3,40,40,8470,0,-89000,,,,12,0,6,3,10,20,0,2,3,20000,0,0,0,0,1,0,0,0
AA,55,57,1,2,700,700,1,20,1,20,2,3,40,40,80000,208700,-89000,,,,12,0,6,3,10,20,0,1,1,62100,0,0,0,0,1,0,0,0
AA,55,57,1,2,1600,1600,1,20,1,20,2,3,40,40,80000,208700,-89000,,,,12,0,6,3,10,20,0,1,1,73100,0,0,0,0,1,0,0,0
AA,55,57,1,2,600,600,1,20,1,20,2,3,40,40,80000,208700,-89000,,,,12,0,6,3,10,20,0,1,1,75500,0,0,0,0,1,0,0,0
AA,55,57,4,0,800,600,1,20,1,20,5,3,40,40,8470,0,-89000,,,,12,0,6,3,10,20,0,1,3,30000,0,0,0,0,1,0,0,0
AA,55,57,1,3,700,700,1,20,1,20,5,3,40,40,80000,0,45000,,,,12,0,6,3,10,20,0,1,2,211500,0,0,0,0,1,0,0,0
AA,55,57,3,0,600,800,1,20,1,20,5,3,40,40,8470,0,-89000,,,,12,0,6,3,10,20,0,2,3,20000,0,0,0,0,1,0,0,0
AA,55,57,1,2,700,700,1,20,1,20,5,3,40,40,80000,210600,-89000,,,,12,0,6,3,5,20,0,1,1,79400,0,0,0,0,1,0,0,0
AA,55,57,1,2,500,500,1,20,1,20,5,3,40,40,80000,210600,-89000,,,,12,0,6,3,5,20,0,1,1,80800,0,0,0,0,1,0,0,0
AA,55,57,1,2,0,0,1,20,1,20,5,3,40,40,80000,210600,-89000,,,,12,0,6,3,5,20,0,1,1,80800,0,0,4,0,1,0,0,0
